RID,紫外线,交通,路况,风寒,感冒,空气污染扩散,运动
0,最弱,较好,潮湿,无需防护,较易发,良,适宜
1,最弱,较好,潮湿,无需防护,较易发,良,适宜
2,最弱,较好,潮湿,无需防护,易发,良,适宜
3,最弱,较好,潮湿,冷,极易发,良,不适宜
4,强,良好,干燥,无需防护,极易发,中,不适宜
5,最弱,较好,潮湿,无需防护,较易发,良,适宜
6,最弱,较好,潮湿,无需防护,较易发,良,适宜
7,弱,较好,潮湿,无需防护,极易发,中,适宜
8,最弱,较好,潮湿,无需防护,较易发,良,适宜
9,最弱,较好,潮湿,无需防护,易发,中,适宜
10,强,良好,干燥,无需防护,极易发,良,不适宜
11,最弱,较好,潮湿,无需防护,极易发,良,适宜
12,最弱,较好,潮湿,无需防护,较易发,中,适宜
13,最弱,良好,干燥,无需防护,较易发,良,适宜
14,最弱,较好,潮湿,无需防护,易发,中,适宜
15,最弱,较好,潮湿,无需防护,易发,中,适宜
16,强,良好,干燥,无需防护,易发,中,不适宜
17,弱,较好,潮湿,无需防护,较易发,良,适宜
18,最弱,较好,潮湿,无需防护,极易发,良,适宜
19,最弱,较好,潮湿,无需防护,较易发,良,适宜
20,最弱,较好,潮湿,无需防护,较易发,良,适宜
21,最弱,较好,潮湿,无需防护,易发,良,适宜
22,最弱,较好,潮湿,无需防护,易发,良,适宜
23,最弱,较好,潮湿,无需防护,易发,中,适宜
24,最弱,较好,潮湿,无需防护,较易发,良,适宜
25,弱,良好,干燥,无需防护,较易发,良,适宜
26,最弱,较好,潮湿,无需防护,易发,中,适宜
27,最弱,较好,潮湿,无需防护,较易发,良,适宜
28,最弱,较好,潮湿,无需防护,易发,中,适宜
29,弱,较好,潮湿,无需防护,极易发,中,适宜
30,最弱,较好,潮湿,凉,极易发,良,不适宜
31,弱,较好,潮湿,无需防护,极易发,中,适宜
32,强,良好,干燥,凉,极易发,良,不适宜
33,最弱,良好,干燥,无需防护,极易发,良,不适宜
34,弱,较好,潮湿,无需防护,易发,良,适宜
35,最弱,较好,潮湿,无需防护,易发,中,适宜
36,强,良好,干燥,无需防护,极易发,良,不适宜
37,最弱,较好,潮湿,无需防护,较易发,良,适宜
38,最弱,较好,潮湿,无需防护,易发,中,适宜
39,最弱,较好,潮湿,无需防护,易发,良,不适宜
40,强,良好,干燥,无需防护,极易发,良,不适宜
41,最弱,较好,潮湿,无需防护,极易发,良,适宜
42,最弱,较好,潮湿,凉,极易发,良,适宜
43,弱,较好,潮湿,无需防护,极易发,良,适宜
44,最弱,较好,潮湿,无需防护,易发,良,适宜
45,弱,较好,潮湿,无需防护,较易发,中,适宜
46,弱,较好,潮湿,无需防护,易发,良,适宜
47,最弱,较好,潮湿,无需防护,极易发,中,不适宜
48,最弱,较好,潮湿,无需防护,易发,良,适宜
49,最弱,较好,潮湿,无需防护,极易发,良,适宜
50,最弱,较好,潮湿,无需防护,较易发,良,适宜
51,最弱,较好,潮湿,无需防护,易发,良,适宜
52,最弱,较好,潮湿,无需防护,易发,良,适宜
53,强,良好,干燥,无需防护,极易发,中,不适宜
54,最弱,较好,潮湿,无需防护,易发,良,适宜
55,最弱,良好,干燥,无需防护,较易发,中,不适宜
56,最弱,较好,潮湿,无需防护,易发,中,适宜
57,最弱,良好,干燥,无需防护,极易发,良,较适宜
58,最弱,较好,潮湿,无需防护,易发,中,适宜
59,最弱,较好,潮湿,无需防护,易发,良,适宜
60,最弱,较好,潮湿,凉,极易发,中,不适宜
61,强,良好,干燥,无需防护,极易发,中,不适宜
62,最弱,较好,潮湿,无需防护,易发,良,适宜
63,最弱,较好,潮湿,无需防护,易发,良,适宜
64,最弱,较好,潮湿,无需防护,易发,中,适宜
65,最弱,较好,潮湿,无需防护,较易发,良,不适宜
66,强,良好,干燥,无需防护,极易发,良,不适宜
67,最弱,较好,潮湿,无需防护,易发,良,适宜
68,强,良好,干燥,无需防护,极易发,良,不适宜
69,强,良好,干燥,无需防护,极易发,良,不适宜
70,最弱,良好,干燥,无需防护,较易发,良,不适宜
71,最弱,较好,潮湿,无需防护,易发,良,适宜
72,强,良好,干燥,无需防护,极易发,中,不适宜
73,最弱,较好,潮湿,无需防护,易发,良,适宜
74,最弱,较好,潮湿,无需防护,极易发,中,适宜
75,最弱,较好,潮湿,无需防护,较易发,中,不适宜
76,最弱,较好,潮湿,无需防护,易发,良,适宜
77,最弱,较好,潮湿,无需防护,较易发,良,适宜
78,最弱,较好,潮湿,无需防护,易发,中,适宜
79,最弱,较好,潮湿,无需防护,易发,良,适宜
80,强,良好,干燥,无需防护,极易发,良,不适宜
81,最弱,较好,潮湿,无需防护,较易发,良,适宜
82,弱,较好,潮湿,无需防护,易发,良,适宜
83,弱,较好,潮湿,无需防护,易发,良,适宜
84,最弱,较好,潮湿,无需防护,易发,良,适宜
85,最弱,较好,潮湿,无需防护,极易发,良,不适宜
86,最弱,较好,潮湿,无需防护,极易发,良,不适宜
87,最弱,良好,干燥,无需防护,较易发,中,不适宜
88,最弱,较好,潮湿,无需防护,易发,良,适宜
89,最弱,较好,潮湿,无需防护,可能,良,适宜
90,最弱,较好,潮湿,无需防护,较易发,中,适宜
91,最弱,较好,潮湿,凉,极易发,良,不适宜
92,最弱,较好,潮湿,无需防护,较易发,良,适宜
93,弱,良好,干燥,无需防护,极易发,良,适宜
94,最弱,较好,潮湿,无需防护,极易发,良,适宜
95,最弱,较好,潮湿,无需防护,易发,中,不适宜
96,最弱,较好,潮湿,无需防护,易发,中,适宜
97,最弱,较好,潮湿,无需防护,易发,中,适宜
98,弱,较好,潮湿,无需防护,较易发,良,适宜
99,弱,较好,潮湿,无需防护,极易发,良,适宜
100,弱,良好,干燥,无需防护,极易发,良,不适宜
101,最弱,较好,潮湿,无需防护,极易发,中,适宜
102,最弱,较好,潮湿,无需防护,易发,良,适宜
103,弱,较好,潮湿,无需防护,极易发,良,适宜
